"","SECTOR 11","SECTOR 21","SECTOR 22","SECTOR 23","SECTOR 31-33","SECTOR 43","SECTOR 46","SECTOR 48-49","SECTOR 51","SECTOR 52","SECTOR 53","SECTOR 54","SECTOR 55","SECTOR 56","SECTOR 61","SECTOR 62","SECTOR 71","SECTOR 72","SECTOR 81"
"SECTOR 11",0,0,3.21890827236916,0,0,1.06809684143017,0,2.0410761526833,1.93138030945696,1.33344984087523,0,0,0,0,2.50064333504889,1.34620402189131,1.28468826056833,1.16679813653068,2.11982916723271
"SECTOR 21",0,0,0.401403377142687,1.02867431695325,0.996825957362728,0.932920477788749,1.00410313720952,1.5274200121016,1.4453692057731,1.49718943900837,0.786972804917465,1.31834618283524,0,0.927671701449126,0.623965101017355,0.839721858253087,0.961653355142722,0.873473273720955,0.925780229426345
"SECTOR 22",3.21890827236916,0.401403377142687,0,0,1.03236517334553,1.10424841984914,1.03990612392853,0.527446637299553,0.499104994328352,1.03386075828871,0.652102154987541,0.682769726247987,0,0.960852401597671,1.29257110575147,1.39166198662766,1.32808771490561,1.20625260273839,1.09579235420876
"SECTOR 23",0,1.02867431695325,0,0,1.32276288526289,1.06115793212567,0.999319643362754,1.35170915778792,1.27907268170426,1.76629099707244,1.25333216084821,0.874853555753729,0,0.410387370491447,1.24215168427347,0.44579542056474,0.850857399376638,0.772794951345021,0.702020633834929
"SECTOR 31-33",0,0.996825957362728,1.03236517334553,1.32276288526289,0,1.02869620295363,1.04955798587378,1.14589672490512,0.774542395936776,1.06990166543305,1.21476419559382,1.05986608190301,0,0.994415495310751,1.00328248017996,0.864098324514991,0.824659184328414,1.02998107668364,1.02082744862651
"SECTOR 43",1.06809684143017,0.932920477788749,1.10424841984914,1.06115793212567,1.02869620295363,0,1.0362022700355,0.875471800728776,0.994145168861583,1.1443422655151,0.866185126750525,0.906886026886027,0,0.957237484737485,1.18039011833962,0.924220470594271,0.992287942083276,1.10163091523452,1.00084413691646
"SECTOR 46",0,1.00410313720952,1.03990612392853,0.999319643362754,1.04955798587378,1.0362022700355,0,0.98936947656406,0.936237665261817,0.862168718132021,1.01969177538906,0.960841772641821,0,1.10184034495582,0.909544346661905,1.08800683927134,1.03834761544635,1.13181550114864,1.02827600736215
"SECTOR 48-49",2.0410761526833,1.5274200121016,0.527446637299553,1.35170915778792,1.14589672490512,0.875471800728776,0.98936947656406,0,0.633040091568413,0.874261210745345,0.827164286469904,1.29908295785847,0,1.01567201260453,0.819787974003653,0.661964193214193,0.631731099467787,0.956319565107905,1.39003133568351
"SECTOR 51",1.93138030945696,1.4453692057731,0.499104994328352,1.27907268170426,0.774542395936776,0.994145168861583,0.936237665261817,0.633040091568413,0,1.03412669886381,0.978419734885554,1.02442062807073,0,1.15334289330995,0.775755935513314,1.04401233051512,1.19559852995864,0.904956689363616,0.986534784192315
"SECTOR 52",1.33344984087523,1.49718943900837,1.03386075828871,1.76629099707244,1.06990166543305,1.1443422655151,0.862168718132021,0.874261210745345,1.03412669886381,0,0.945988257671907,1.13194318774831,0,0.796514019910954,0.937555312023091,0.865188508014574,1.10091589842851,0.749985220239452,0.794909754704682
"SECTOR 53",0,0.786972804917465,0.652102154987541,1.25333216084821,1.21476419559382,0.866185126750525,1.01969177538906,0.827164286469904,0.978419734885554,0.945988257671907,0,1.2048590343688,0,1.13043438681206,1.01379301476147,0.955028131650709,1.0416310328486,1.06440336156817,0.967001889432797
"SECTOR 54",0,1.31834618283524,0.682769726247987,0.874853555753729,1.05986608190301,0.906886026886027,0.960841772641821,1.29908295785847,1.02442062807073,1.13194318774831,1.2048590343688,0,0,1.05205455302944,0.796079005012341,0.999915477699803,0.817939825667586,1.11442367292937,0.78745301393933
"SECTOR 55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SECTOR 56",0,0.927671701449126,0.960852401597671,0.410387370491447,0.994415495310751,0.957237484737485,1.10184034495582,1.01567201260453,1.15334289330995,0.796514019910954,1.13043438681206,1.05205455302944,0,0,0.99587377072044,1.07216716841754,1.02321920250255,1.04559102489266,1.05545893902022
"SECTOR 61",2.50064333504889,0.623965101017355,1.29257110575147,1.24215168427347,1.00328248017996,1.18039011833962,0.909544346661905,0.819787974003653,0.775755935513314,0.937555312023091,1.01379301476147,0.796079005012341,0,0.99587377072044,0,1.21694723771526,1.03234584670106,0.937703287031722,1.17135809065005
"SECTOR 62",1.34620402189131,0.839721858253087,1.39166198662766,0.44579542056474,0.864098324514991,0.924220470594271,1.08800683927134,0.661964193214193,1.04401233051512,0.865188508014574,0.955028131650709,0.999915477699803,0,1.07216716841754,1.21694723771526,0,1.11143645609423,1.00953532268669,1.14643491996957
"SECTOR 71",1.28468826056833,0.961653355142722,1.32808771490561,0.850857399376638,0.824659184328414,0.992287942083276,1.03834761544635,0.631731099467787,1.19559852995864,1.10091589842851,1.0416310328486,0.817939825667586,0,1.02321920250255,1.03234584670106,1.11143645609423,0,1.08388086402132,0.984694960298425
"SECTOR 72",1.16679813653068,0.873473273720955,1.20625260273839,0.772794951345021,1.02998107668364,1.10163091523452,1.13181550114864,0.956319565107905,0.904956689363616,0.749985220239452,1.06440336156817,1.11442367292937,0,1.04559102489266,0.937703287031722,1.00953532268669,1.08388086402132,0,0.894438252050377
"SECTOR 81",2.11982916723271,0.925780229426345,1.09579235420876,0.702020633834929,1.02082744862651,1.00084413691646,1.02827600736215,1.39003133568351,0.986534784192315,0.794909754704682,0.967001889432797,0.78745301393933,0,1.05545893902022,1.17135809065005,1.14643491996957,0.984694960298425,0.894438252050377,0
