"","SECTOR 11","SECTOR 21","SECTOR 22","SECTOR 23","SECTOR 31-33","SECTOR 43","SECTOR 46","SECTOR 48-49","SECTOR 51","SECTOR 52","SECTOR 53","SECTOR 54","SECTOR 55","SECTOR 56","SECTOR 61","SECTOR 62","SECTOR 71","SECTOR 72","SECTOR 81"
"SECTOR 11",0,0,0.0175438596491228,0,0,0.00684931506849315,0,0.0120481927710843,0.0114942528735632,0.00833333333333333,0,0,0,0,0.0158730158730159,0.00840336134453781,0.00806451612903226,0.00740740740740741,0.0136986301369863
"SECTOR 21",0,0,0.00719424460431655,0.015625,0.0347826086956522,0.0315315315315315,0.0349344978165939,0.0375,0.0365853658536585,0.0463917525773196,0.0245098039215686,0.0408163265306122,0,0.0292682926829268,0.0194174757281553,0.0253807106598985,0.0298507462686567,0.0283018867924528,0.031390134529148
"SECTOR 22",0.0175438596491228,0.00719424460431655,0,0,0.021505376344086,0.0225988700564972,0.0216216216216216,0.00854700854700855,0.00826446280991736,0.0197368421052632,0.0125786163522013,0.012987012987013,0,0.01875,0.0253164556962025,0.0266666666666667,0.0258064516129032,0.0240963855421687,0.0224719101123595
"SECTOR 23",0,0.015625,0,0,0.0227272727272727,0.0178571428571429,0.0170454545454545,0.0188679245283019,0.0181818181818182,0.0283687943262411,0.0202702702702703,0.0138888888888889,0,0.00657894736842105,0.0201342281879195,0.00699300699300699,0.0136054421768707,0.0126582278481013,0.0117647058823529
"SECTOR 31-33",0,0.0347826086956522,0.021505376344086,0.0227272727272727,0,0.0449438202247191,0.0474452554744526,0.0334928229665072,0.0232558139534884,0.0411522633744856,0.048582995951417,0.040983606557377,0,0.0398406374501992,0.04,0.0327868852459016,0.0321285140562249,0.0428015564202335,0.0447761194029851
"SECTOR 43",0.00684931506849315,0.0315315315315315,0.0225988700564972,0.0178571428571429,0.0449438202247191,0,0.0451127819548872,0.0247524752475248,0.0292682926829268,0.0427350427350427,0.0330578512396694,0.0337552742616034,0,0.037037037037037,0.0458333333333333,0.0340425531914894,0.0376569037656904,0.0443548387096774,0.0423076923076923
"SECTOR 46",0,0.0349344978165939,0.0216216216216216,0.0170454545454545,0.0474452554744526,0.0451127819548872,0,0.0287081339712919,0.028169014084507,0.0327868852459016,0.0403225806451613,0.0368852459016393,0,0.0441767068273092,0.036,0.04149377593361,0.040650406504065,0.0470588235294118,0.0449438202247191
"SECTOR 48-49",0.0120481927710843,0.0375,0.00854700854700855,0.0188679245283019,0.0334928229665072,0.0247524752475248,0.0287081339712919,0,0.0136986301369863,0.0225988700564972,0.0218579234972678,0.0340909090909091,0,0.0271739130434783,0.0217391304347826,0.0169491525423729,0.0164835164835165,0.0261780104712042,0.04
"SECTOR 51",0.0114942528735632,0.0365853658536585,0.00826446280991736,0.0181818181818182,0.0232558139534884,0.0292682926829268,0.028169014084507,0.0136986301369863,0,0.0277777777777778,0.0268817204301075,0.0276243093922652,0,0.0320855614973262,0.0212765957446809,0.0279329608938547,0.0327868852459016,0.0256410256410256,0.029126213592233
"SECTOR 52",0.00833333333333333,0.0463917525773196,0.0197368421052632,0.0283687943262411,0.0411522633744856,0.0427350427350427,0.0327868852459016,0.0225988700564972,0.0277777777777778,0,0.032258064516129,0.037914691943128,0,0.0272727272727273,0.0321100917431193,0.028436018957346,0.0373831775700935,0.026431718061674,0.0294117647058824
"SECTOR 53",0,0.0245098039215686,0.0125786163522013,0.0202702702702703,0.048582995951417,0.0330578512396694,0.0403225806451613,0.0218579234972678,0.0268817204301075,0.032258064516129,0,0.0416666666666667,0,0.0403587443946188,0.0358744394618834,0.0324074074074074,0.0363636363636364,0.0391304347826087,0.0371900826446281
"SECTOR 54",0,0.0408163265306122,0.012987012987013,0.0138888888888889,0.040983606557377,0.0337552742616034,0.0368852459016393,0.0340909090909091,0.0276243093922652,0.037914691943128,0.0416666666666667,0,0,0.0365296803652968,0.0272727272727273,0.033175355450237,0.0276497695852535,0.04,0.0292887029288703
"SECTOR 55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SECTOR 56",0,0.0292682926829268,0.01875,0.00657894736842105,0.0398406374501992,0.037037037037037,0.0441767068273092,0.0271739130434783,0.0320855614973262,0.0272727272727273,0.0403587443946188,0.0365296803652968,0,0,0.0355555555555556,0.0368663594470046,0.036036036036036,0.0387931034482759,0.0411522633744856
