state,sec,Count
CIUDAD DE MEXICO,SECTOR 46,84
CIUDAD DE MEXICO,SECTOR 48-49,15
CIUDAD DE MEXICO,SECTOR 51,2
CIUDAD DE MEXICO,SECTOR 52,18
CIUDAD DE MEXICO,SECTOR 53,37
CIUDAD DE MEXICO,SECTOR 54,38
CIUDAD DE MEXICO,SECTOR 55,0
CIUDAD DE MEXICO,SECTOR 56,26
CIUDAD DE MEXICO,SECTOR 61,16
CIUDAD DE MEXICO,SECTOR 62,17
CIUDAD DE MEXICO,SECTOR 71,10
CIUDAD DE MEXICO,SECTOR 72,65
CIUDAD DE MEXICO,SECTOR 81,38
DURANGO,SECTOR 11,8
DURANGO,SECTOR 21,2
DURANGO,SECTOR 22,0
DURANGO,SECTOR 23,0
DURANGO,SECTOR 31-33,9
DURANGO,SECTOR 43,12
DURANGO,SECTOR 46,10
DURANGO,SECTOR 48-49,13
DURANGO,SECTOR 51,0
DURANGO,SECTOR 52,59
DURANGO,SECTOR 53,0
DURANGO,SECTOR 54,2
DURANGO,SECTOR 55,0
DURANGO,SECTOR 56,1
DURANGO,SECTOR 61,0
DURANGO,SECTOR 62,1
DURANGO,SECTOR 71,1
DURANGO,SECTOR 72,3
DURANGO,SECTOR 81,8
GUANAJUATO,SECTOR 11,39
GUANAJUATO,SECTOR 21,0
GUANAJUATO,SECTOR 22,0
GUANAJUATO,SECTOR 23,1
GUANAJUATO,SECTOR 31-33,22
GUANAJUATO,SECTOR 43,26
GUANAJUATO,SECTOR 46,32
GUANAJUATO,SECTOR 48-49,9
GUANAJUATO,SECTOR 51,1
GUANAJUATO,SECTOR 52,331
GUANAJUATO,SECTOR 53,3
GUANAJUATO,SECTOR 54,3
GUANAJUATO,SECTOR 55,0
GUANAJUATO,SECTOR 56,8
GUANAJUATO,SECTOR 61,2
GUANAJUATO,SECTOR 62,4
GUANAJUATO,SECTOR 71,3
GUANAJUATO,SECTOR 72,8
GUANAJUATO,SECTOR 81,14
GUERRERO,SECTOR 11,435
GUERRERO,SECTOR 21,3
GUERRERO,SECTOR 22,0
GUERRERO,SECTOR 23,0
GUERRERO,SECTOR 31-33,10
GUERRERO,SECTOR 43,11
GUERRERO,SECTOR 46,25
GUERRERO,SECTOR 48-49,17
GUERRERO,SECTOR 51,0
GUERRERO,SECTOR 52,43
GUERRERO,SECTOR 53,1
GUERRERO,SECTOR 54,0
GUERRERO,SECTOR 56,4
GUERRERO,SECTOR 61,0
GUERRERO,SECTOR 62,3
GUERRERO,SECTOR 71,5
